rest_name,rest_zone,rating,review,rest_address,rest_type,rest_cost,rest_time
Haka Dimsum Shop,Kemang,4.2,(314 Ulasan),"Jl. Kemang Selatan VIII No.44A, Kemang, Jakarta",Dimsum,Harga untuk 2:Rp100.000,Jam:                                      24 Jam (Sen-Min)
Echigoya Ramen,Melawai,4.3,(267 Ulasan),"Jl. Melawai 8 No. 2A, Melawai, Jakarta","Ramen, Jepang",Harga untuk 2:Rp250.000,"Jam:                                      11h 30m - 14h, 18h - 1h (Sen-Jum),11h 30m - 14h 30m..."
ROMA Osteria & Bar,SCBD,3.9,(25 Ulasan),"#03-01, Ground Floor, Sequis Tower, Jl. Jend. Sudirman Number Kav. 71, Daerah Khusus Ibukota, SCBD, Jakarta",Itali,Harga untuk 2:Rp600.000,Jam:                                      12h - 22h (Sen-Min)
Haidilao Hot Pot,"Grand Indonesia Mall, Thamrin",3.9,(30 Ulasan),"Mall Grand Indonesia, East Mall Unit EM- 01, Jl. M.H. Thamrin 1, Thamrin, Jakarta",Chinese,Harga untuk 2:Rp200.000,Jam:                                      11h - 20h (Sen-Min)
Cupbop,"Central Park, Tanjung Duren",3.7,(390 Ulasan),"Central Park, Lantai Lower Ground, Jl. Letjen S. Parman, Tanjung Duren, Jakarta",Korea,Harga untuk 2:Rp100.000,"Jam:                                      11h - 20h (Sen-Jum),10h - 21h (Sab-Min)"
Stuja Coffee,Fatmawati,3.8,(114 Ulasan),"Salapan Noodle, Jl. Cipete Raya No. 18-19, Fatmawati, Jakarta","Kopi, Minuman",Harga untuk 2:Rp100.000,"Jam:                                      10h - 21h (Sen-Jum),10h - 22h (Sab),8h - 20h (Min)"
Bakmi Roxy,Cikini,3.3,(38 Ulasan),"Jl. Cikini Raya No. 55, Cikini, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp55.000,Jam:                                      8h - 1h (Sen-Min)
Bakmi Karet Asiu,Kelapa Gading,4.1,(148 Ulasan),"Jl. Kopyor Raya, Blok Q1 No. 10, Kelapa Gading, Jakarta","Bakmi, Chinese",Harga untuk 2:Rp75.000,Jam:                                      6h 30m - 16h (Sen-Min)
Hong Kong Sheng Kee Dessert,"Mall Taman Anggrek, Tanjung Duren",4.2,(304 Ulasan),"Mall Taman Anggrek, Lantai 4, Jl. Tanjung Duren Timur 2, Tanjung Duren, Jakarta","Chinese, Dimsum, Desserts",Harga untuk 2:Rp220.000,Jam:                                      10h - 21h (Sen-Min)
Chunghae Soosan,Senopati,4.0,(73 Ulasan),"Jl. Senopati No. 49, Senopati, Jakarta","Korea, Barbekyu, Grill House",Harga untuk 2:Rp650.000,"Jam:                                      11h - 22h (Sen, Sel, Rab, Kam, Min), 11h - 23h..."
Tamba,Melawai,4.3,(172 Ulasan),"Jl. Melawai 8 No. 4, Melawai, Jakarta",Jepang,Harga untuk 2:Rp300.000,"Jam:                                      11h 30m - 14h 30m, 18h - 22h (Sen-Min)"
Fish Village Restaurant,Pluit,4.3,(350 Ulasan),"Jl. Pluit Permai Raya No. 37, Pluit, Jakarta 14450","Chinese, Seafood",Harga untuk 2:Rp250.000,"Jam:                                      10h - 22h (Sen-Jum),8h - 22h (Sab-Min)"
Bakmi Aliang,Gunung Sahari,4.1,(116 Ulasan),"Jl. Pademangan No. 26, Gunung Sahari, Jakarta",Bakmi,Harga untuk 2:Rp80.000,Jam:                                      7h - 17h (Sen-Min)
