,Restaurant_ID,Name,Type,Area,Rating,Review,Restaurant Address,Latitude,Longitude,Price
86,86,Benedict,"['Casual Dining', 'Western']",Thamrin,4.4,1379,"Grand Indonesia Mall, East Mall, Lantai Lower Ground, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta",-61.960.820.000,106.822.120.000,
87,87,Three Buns,"['Casual Dining', 'Burger']",Senopati,4.1,1290,"Jl. Senopati No. 90, Senopati, Jakarta",-62.330.173.575,106.811.450.086,
88,88,Yakinikuya,"['Casual Dining', 'Japanese']",Dharmawangsa,4.8,1196,"Dharmawangsa Square, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta",-62.534.612.226,106.801.743.507,
89,89,Pokenbir,"['Casual Dining', 'Asian', 'Western']",Setiabudi,4.9,1193,"Lippo Kuningan, Jl. HR Rasuna Said, Setiabudi, Jakarta",-62.175.539.471,106.830.099.821,
90,90,Tsamara Resto & Function Hall,"['Casual Dining', 'Indonesian']",Pondok Melati,4.1,611,"Jl. Raya Hankam No. 69, Pondok Melati, Bekasi",-63.414.770.000,106.923.028.000,
91,91,Nicole's Kitchen & Lounge,"['Casual Dining', 'Western', 'Asian']",Cisarua,4.2,942,"Kampoeng Brasco, Jl. Raya Hanjawar No. 1, Cisarua, Bogor 43253",-67.139.220.000,107.023.893.000,
92,92,Cliq Coffee,"['Café', 'Quick Bites', 'Coffee', 'Western', 'Indonesian']",Senopati,4.2,414,"Jl. Cipaku I No. 9A, Senopati, Jakarta",-62.395.375.506,106.811.348.497,
93,93,Jetski Cafe,"['Casual Dining', 'Seafood']",Pluit,4.2,791,"Pantai Mutiara, Jl. Raya Pantai Mutiara, Blok R No. 57, Pluit, Jakarta",-61.034.493.621,106.790.332.384,
94,94,Gelato Secrets,"['Dessert Parlor', 'Ice Cream']",Menteng,4.6,846,"Shophaus, Lantai 1, Jl. Teuku Cik Ditiro No. 36, Menteng, Jakarta",-61.976.190.000,106.836.528.000,
95,95,FEZ Kinara & Aroi Thai,"['Casual Dining', 'Bar', 'North Indian', 'Indian', 'Moroccan', 'Middle Eastern', 'Thai']",Kemang,4.3,422,"Jl. Kemang Raya No. 78 B, Kemang, Jakarta",-62.693.544.925,106.815.876.402,
96,96,Mister - Sunday,"['Café', 'Cafe', 'Australian', 'Coffee', 'Tea']",Senopati,4.1,673,"Jl. Cikajang No. 30, Senopati, Jakarta",-62.411.316.744,106.810.323.894,
97,97,Goedkoop,"['Café', 'Quick Bites', 'Cafe', 'Coffee', 'Belanda']",Bendungan Hilir,4.3,1152,"Jl. Bendungan Hilir Raya No. 62, Bendungan Hilir, Jakarta",-62.128.700.000,106.812.781.000,
98,98,Zenbu,"['Casual Dining', 'Sushi', 'Ramen', 'Japanese']",Tebet,4.5,1511,"Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta",-62.242.250.000,106.842.805.000,
99,99,Pizza Place,"['Quick Bites', 'Pizza']",Kemang,4.8,813,"Como Park, Jl. Kemang Timur Raya No. 998, Kemang, Jakarta",-62.724.860.000,106.821.250.000,
100,100,Woodpecker Coffee,"['Café', 'Desserts', 'Tea', 'Coffee']",Dharmawangsa,4.2,716,"Jl. Panglima Polim V No. 23, Dharmawangsa, Jakarta",-62.507.946.333,106.798.142.977,
101,101,Tier Siera Resto & Lounge,"['Casual Dining', 'Western']",Tanah Sareal,4.0,604,"Jl. Jend. Ahmad Yani No. 48, Tanah Sareal, Bogor 16161",-65.762.160.000,106.800.238.000,
102,102,Foresthree,"['Café', 'Cafe', 'Western']",Bogor Utara,4.2,863,"Jl. H. Achmad Adnawijaya, Bogor Utara, Bogor",-65.777.830.000,106.817.633.000,
103,103,Sana Sini Restaurant - Pullman Jakarta Indonesia,"['Fine Dining', 'Japanese', 'Chinese', 'Western', 'Indonesian']",Thamrin,4.7,840,"Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta",-61.936.040.000,106.823.753.000,
104,104,Yakiniku Kintan Buffet,"['Casual Dining', 'Japanese']",Gandaria,4.5,1263,"Gandaria City, Lantai Upper Ground, Jl. Sultan Iskandar Muda, Gandaria, Jakarta",-62.430.950.000,106.783.823.000,
105,105,Jjang Korean Noodle," Grill & Chikin’['Casual Dining', 'Korean']",Senopati,4.2,705,"Jl. Wolter Monginsidi No. 37, Senopati, Jakarta",-62.390.952.746,106.808.573.082,
106,106,Parc 19,"['Casual Dining', 'Lounge', 'Western', 'Asian']",Kemang,4.2,574,"Jl. Taman Kemang No. 19, Kemang, Jakarta",-62.559.260.000,106.810.325.000,
107,107,Sophie Authentique,"['Casual Dining', 'Bakery', 'French', 'Coffee', 'Desserts', 'Bakery']",Fatmawati,4.2,429,"Jl. Cipete Raya No. 11, Fatmawati, Jakarta",-62.779.998.041,106.801.886.335,
108,108,Al Jazeerah Signature,"['Casual Dining', 'Arabian', 'Middle Eastern']",Menteng,4.3,495,"Jl. Johar No. 8, Menteng, Jakarta",-61.871.770.000,106.831.998.000,
109,109,Happiness Kitchen & Coffee,"['Café', 'Coffee', 'Western']",Jagakarsa,4.0,739,"Jl. M. Kahfi 1 No. 36A, Jagakarsa, Jakarta",-63.302.290.000,106.808.964.000,
110,110,B'Steak Grill & Pancake,"['Casual Dining', 'Steak', 'Grill']",Serpong Utara,4.4,1087,"Ruko Golden 8, Jl. Ki Hajar Dewantara, Blok F No. 3, Serpong Utara, Tangerang 11151",-62.396.430.000,106.637.187.000,
111,111,Langit Seduh - Takes Mansion & Hotel,"['Café', 'Coffee', 'Indonesian', 'Snacks']",Tanah Abang,3.2,356,Takes Mansion &amp,,,
112,112,Ecology Bistro and Lounge,"['Casual Dining', 'Lounge', 'Western']",Kemang,4.1,406,"Jl. Kemang Raya No. 6, Kemang, Jakarta 12730",-62.565.147.357,106.814.536.303,
113,113,Seribu Rasa,"['Casual Dining', 'Seafood', 'Jawa', 'Peranakan']",Thamrin,4.5,656,"Jl. Haji Agus Salim No. 128, Thamrin, Jakarta",-61.954.940.000,106.824.827.000,
114,114,BYURGER,"['Quick Bites', 'Burger']",Fatmawati,4.4,638,"Jl. Antasari Raya, Pasar Cipete Selatan No. 10, Fatmawati, Jakarta",-62.788.680.000,106.807.926.000,
115,115,FJ On 7,"['Lounge', 'Asian', 'Western']",Kemang,4.0,632,"Colony 6, Rooftop, Jl. Kemang Raya No. 6A, Kemang, Jakarta",-62.553.880.000,106.810.357.000,
116,116,Holy Smokes,"['Casual Dining', 'Grill', 'Steak']",Senopati,4.4,1441,"Jl. Wolter Monginsidi No. 27, Senopati, Jakarta",-62.389.300.000,106.807.761.000,
117,117,Gurih 7,"['Casual Dining', 'Sunda', 'Jawa', 'Indonesian']",Bogor Utara,4.2,1925,"Jl. Raya Pajajaran No.102, Bogor Utara, Bogor 16153",-65.739.320.000,106.807.550.000,
118,118,Fillmore Coffee,"['Café', 'Cafe']",Setiabudi,4.4,477,"Suites@ Seven, Jl. H. Sidik No. 7, Setiabudi, Jakarta",-62.206.663.304,106.823.557.913,
119,119,Kedai Filosofi Kopi,"['Café', 'Coffee']",Melawai,4.1,985,"Jl. Melawai 6, Melawai, Jakarta",-62.448.578.322,106.799.778.454,
120,120,Sumibi Japanese Restaurant,"['Casual Dining', 'Japanese']",Gandaria,4.6,604,"1 Park Residences, Jl. KH. M Syafi'i Hadzami No. 1, Gandaria, Jakarta",-62.457.690.000,106.788.394.000,
121,121,Sushi Go!,"['Food Court', 'Sushi', 'Japanese']",Thamrin,4.5,3818,"Grand Indonesia Mall, Lantai 5, FoodPrint, West Mall, Jl. MH Thamrin, Thamrin, Jakarta",-61.950.580.000,106.820.135.000,
122,122,Onokabe,"['Casual Dining', 'Japanese']",Serpong Utara,3.8,1004,"Alam Sutera Town Center, Jl. Alam Utama, Serpong Utara, Tangerang",-62.417.640.000,106.652.677.000,
123,123,Kikugawa,"['Casual Dining', 'Japanese', 'Sushi']",Cikini,4.5,501,"Jl. Cikini 4 No. 13, Cikini, Jakarta",-61.933.400.000,106.837.795.000,
124,124,Dope Burger & Co.,"['Casual Dining', 'Burger']",Menteng,4.3,774,"Jl. Teuku Cik Ditiro No. 25, Menteng, Jakarta",-61.971.070.000,106.837.075.000,
125,125,Bistecca,"['Casual Dining', 'Steak', 'Italian']",SCBD,4.4,492,"18 Parc SCBD, Tower C, Lantai Ground, Jl. Jenderal Sudirman Kav 52-53, SCBD, Jakarta",-62.301.466.870,106.810.180.060,
126,126,Mottomoo,"['Casual Dining', 'Japanese']",SCBD,4.3,1023,"Pacific Place Mall, Lantai 5, Jl. Jenderal Sudirman, SCBD, Jakarta",-62.258.114.882,106.809.755.936,
127,127,Talaga Sampireun,"['Casual Dining', 'Sunda', 'Indonesian']",Ancol,4.3,3848,"Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta",-61.264.220.000,106.833.536.000,
