Restaurant Name;Restaurant Type;Restaurant Area;Restaurant Rating;Restaurant Review;Restaurant Address;Latitude;Longitude;Price
Kila Kila by Akasya;['Casual Dining', 'Indonesian'];SCBD;4.3;647 Reviews;Lot 4, Lantai 7, Jl. Jend. Sudirman Kav. 52-53, SCBD, Jakarta;-62.236.030.000;106.810.778.000;Rp450.000 for two people (approx.) Without alcohol
Fujin Japanese Teppanyaki & Sake;['Casual Dining', 'Bar', 'Japanese'];Senopati;4.5;792 Reviews;Jl. Gunawarman No. 21, Senopati, Jakarta;-62.331.393.431;106.807.822.734;Rp400.000 for two people (approx.) Without alcohol
Maple & Oak;['Casual Dining', 'Western'];Menteng;4.3;933 Reviews;De Ritz Building, Lantai Ground, Jl. HOS. Cokroaminoto No. 91, Menteng, Jakarta 10310;-61.980.510.000;106.828.784.000;Rp250.000 for two people (approx.) Without alcohol
The Café - Hotel Mulia;['Fine Dining', 'Indonesian', 'Western'];Senayan;4.9;2,009 Reviews;Hotel Mulia, Jl. Asia Afrika, Senayan, Jakarta;-62.149.550.000;106.797.046.000;Great Veg Options
Segarra;['Casual Dining', 'Lounge', 'Seafood', 'Western', 'Asian'];Ancol;4.2;1,126 Reviews;Taman Impian Jaya Ancol, Jl. Lodan Timur, Ancol, Jakarta;-61.163.100.000;106.858.079.000;Rp750.000 for two people (approx.) Without alcohol
7 Speed Coffee;['Café', 'Coffee', 'Italian', 'Desserts'];Kemang;4.4;594 Reviews;Jl. Kemang Utara Raya No. 33-1, Kemang, Jakarta;-62.578.448.513;106.820.862.628;Rp160.000 for two people (approx.)
Kopi Nalar;['Café', 'Quick Bites', 'Coffee', 'Western'];Senopati;4.3;764 Reviews;Jl. Prof. Joko Sutono No. 7, Senopati, Jakarta;-62.423.175.153;106.807.894.818;Rp170.000 for two people (approx.)
OJJU;['Casual Dining', 'Korean'];Tebet;4.2;3,188 Reviews;Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta;-62.235.280.000;106.842.437.000;Rp200.000 for two people (approx.)
Loewy;['Casual Dining', 'Bar', 'Western'];Kuningan;4.3;1,196 Reviews;Oakwood, Lantai Ground, Jl. Lingkar Mega Kuningan, Kuningan, Jakarta;-62.274.603.145;106.825.629.249;Great Location
Lewis & Carroll Tea;['Café', 'Casual Dining', 'Coffee', 'Tea', 'Western'];Blok M;4.5;713 Reviews;Jl. Bumi No. 4, Blok M, Jakarta;-62.367.250.000;106.789.863.000;Rp250.000 for two people (approx.)
Sudestada Grill;['Casual Dining', 'Grill', 'South American', 'Bar', 'Cafe'];Thamrin;4.6;488 Reviews;Jl. Irian No. 18, Thamrin, Jakarta 10350;-61.918.470.000;106.824.136.000;Rp250.000 for two people (approx.) Without alcohol
Shabu Ghin;['Casual Dining', 'Japanese'];Senopati;4.4;959 Reviews;Jl. Wolter Monginsidi No. 53, Senopati, Jakarta;-62.390.206.176;106.810.260.862;Rp300.000 for two people (approx.) Without alcohol
Fedwell;['Café', 'Quick Bites', 'Healthy Food'];Senopati;4.6;897 Reviews;Jl. Senopati No. 82, Senopati, Jakarta;-62.327.937.170;106.810.990.087;Rp250.000 for two people (approx.)
Trafique Coffee;['Café', 'Cafe'];Senayan;4.3;851 Reviews;Jl. Hang Tuah Raya No. 9, Senayan, Jakarta;-62.304.010.000;106.797.760.000;Coffeeshop
SKYLOFT - All Seasons Hotel;['Casual Dining', 'Lounge', 'Indonesian', 'Western'];Thamrin;3.9;455 Reviews;All Seasons Hotel, Lantai 14, Jl. Talang Betutu No. 2, Thamrin, Jakarta;-62.014.070.000;106.822.151.000;Rp500.000 for two people (approx.) Without alcohol
BASQUE Bar de Tapas;['Casual Dining', 'Bar', 'Spanish'];Kuningan;4.5;785 Reviews;Noble House Building, Lantai 8, Jl. Mega Kuningan Barat, Kuningan, Jakarta 12950;-62.282.180.000;106.825.387.000;Rp750.000 for two people (approx.) Without alcohol
Kimukatsu;['Casual Dining', 'Japanese'];Tebet;4.3;1,336 Reviews;Kota Kasablanka, Lantai Upper Ground, Food Society, Jl. Casablanca Raya, Tebet, Jakarta;-62.227.890.000;106.842.023.000;Rp200.000 for two people (approx.)
Ruth's Chris Steak House;['Fine Dining', 'Steak'];Karet;4.6;561 Reviews;Somerset Grand Citra, Lantai Ground, Jl. Prof Dr Satrio Kav 1, Karet, Jakarta;-62.248.399.215;106.824.214.384;Rp1.900.000 for two people (approx.) Without alcohol
ONNI House;['Casual Dining', 'Indonesian', 'Japanese'];Tanjung Duren;4.3;1,255 Reviews;Jl Tanjung Duren Utara V No. 242, Tanjung Duren, Jakarta;-61.731.810.000;106.781.495.000;Rp200.000 for two people (approx.)
Tugu Kunstkring Paleis;['Fine Dining', 'Betawi', 'Jawa', 'Western', 'Indonesian'];Menteng;4.7;645 Reviews;Jl. Teuku Umar No. 1, Menteng, Jakarta;-61.888.410.000;106.833.331.000;Rp500.000 for two people (approx.) Without alcohol
Satoo - Shangri-La Hotel;['Fine Dining', 'Indonesian', 'Western'];Sudirman;4.4;1,736 Reviews;Shangri-La Hotel, Jl. Jendral Sudirman Kav. 1, Sudirman, Jakarta;-62.030.536.912;106.818.792.633;Rp550.000 for two people (approx.) Without alcohol
Hello Sunday;['Casual Dining', 'Italian', 'Asian', 'Desserts', 'Coffee'];Cikini;4.4;797 Reviews;Metropole 21 Lantai 2, Jl. Pegangsaan Timur No. 21, Cikini, Jakarta;-62.001.600.000;106.843.646.000;Rp350.000 for two people (approx.) Without alcohol
HONU Poké & Matcha Bar;['Casual Dining', 'Japanese', 'Tea', 'Beverages', 'Healthy Food'];Kemang;4.8;1,071 Reviews;Jl. Kemang Selatan Raya No. 125, Kemang, Jakarta;-62.729.260.000;106.815.732.000;Rp220.000 for two people (approx.)
Benedict;['Casual Dining', 'Western'];Thamrin;4.4;1,379 Reviews;Grand Indonesia Mall, East Mall, Lantai Lower Ground, Jl. M. H. Thamrin No. 1, Thamrin, Jakarta;-61.960.820.000;106.822.120.000;Breakfast Menu
Three Buns;['Casual Dining', 'Burger'];Senopati;4.1;1,290 Reviews;Jl. Senopati No. 90, Senopati, Jakarta;-62.330.173.575;106.811.450.086;Cool Place
Yakinikuya;['Casual Dining', 'Japanese'];Dharmawangsa;4.8;1,196 Reviews;Dharmawangsa Square, Jl. Dharmawangsa VI, Dharmawangsa, Jakarta;-62.534.612.226;106.801.743.507;Rp500.000 for two people (approx.)
